audienceType,name,categorySummary,summary
"Crafted Audience","Commercial Contractors & Designers","Lifestyle > Occupation > Commercial Contractors & Designers","Professionals reading industry news about contracting and designing for commercial properties."
"Crafted Audience","Commercial Healthcare Hospitality & Retail Designers","Lifestyle > Occupation > Commercial Healthcare Hospitality & Retail Designers","Professionals reading industry news about hospitality and retail design for commercial healthcare properties."
"Crafted Audience","Commercial Truck Researchers","Consumer > Auto > Commercial Truck Researchers","People researching and comparing commercial trucks. These consumers are more likely to spend money on a new or used commercial truck."
"Crafted Audience","Commercial Vehicles Shoppers","Consumer > Auto > Commercial Vehicles Shoppers","People researching and comparing commercial vehicles. These consumers are more likely to spend money on a new or used commercial vehicle."
"Content Cluster","Community Planning & Transportation","Content Clusters > Community Planning & Transportation","People in this audience are interested in community planning, transportation, and urban planning."
"Crafted Audience","Competitive Car Brand Shoppers","Consumer > Auto > Competitive Car Brand Shoppers","People comparing and shopping for competitive economy car brands."
"Crafted Audience","Competitive Sports Participants","Lifestyle > Activities > Sports > Competitive Sports Participants","People registering for competitive sports leagues, races, and events for adults."
"Crafted Audience","Competitive Tri-Athletes","Lifestyle > Activities > Sports > Competitive Tri-Athletes","People researching and comparing triathlons. These consumers are more likely to spend money on fitness training and equipment."
"Crafted Audience","Competitive Wrestling Enthusiasts","Lifestyle > Activities > Sports > Competitive Wrestling Enthusiasts","People researching competitive wrestling and purchasing equipment and apparel."
"Content Cluster","Computer Printers","Content Clusters > Computer Printers","People in this audience are interested in computer printers and copiers."
"Crafted Audience","Computer Processor and Data Center Decision Makers","Lifestyle > Occupation > Computer Processor and Data Center Decision Makers","Professionals reading industry news and researching products and services for computer processing and data center storage."
"Content Cluster","Computers","Content Clusters > Computers","People in this audience are interested in computers, computer parts, electronics, software, and video games."
"Content Cluster","Computers & Accessories","Content Clusters > Computers & Accessories","People in this audience are interested in computer and computer related accessories."
"Crafted Audience","Computing Networking Tutorial Watchers","Consumer > Media > Computing Networking Tutorial Watchers","Consumers researching computing networking and watching tutorials."
"Location Audience","Concentra","Points of interest > Health > Medical > Concentra","People in this audience have recently visited a Concentra location."
"Content Cluster","Concert Posters","Content Clusters > Concert Posters","People in this audience are interested in concert posters and other music memorabilia."
"Crafted Audience","Condom Shoppers","Consumer > General Consumer > Condom Shoppers","Consumers comparing brands and shopping for condoms online."
"Content Cluster","Connecticut News","Content Clusters > Connecticut News","People in this audience are interested in Connecticut local news, including Hartford, Stamford, and New London."
"Location Audience","ConocoPhillips","Points of interest > Auto > Gas Stations > ConocoPhillips","People in this audience have recently visited a ConocoPhillips location."
"Content Cluster","Conscious Living","Content Clusters > Conscious Living","People in this audience are interested in conscious living, inspirational quotes, and festival clothing."
"Content Cluster","Conservative Media Cluster","Content Clusters > Conservative Media Cluster","People in this audience are interested in a variety of content related to conservative media."
"Crafted Audience","Conservative News Readers","Lifestyle > Political > Conservative News Readers","People reading right-leaning financial news websites."
"Crafted Audience","Conservative Think Tank Readers","Lifestyle > Political > Conservative Think Tank Readers","People reading content online related to conservative think tanks."
"Content Cluster","Conservatives & Conspiracies","Content Clusters > Conservatives & Conspiracies","People in this audience are interested in alternative news; politics; paranormal; gold."
"Content Cluster","Construction Apparel","Content Clusters > Construction Apparel","People in this audience are interested in construction apparel, boots, outerwear, and rugged clothing."
"Content Cluster","Consumer Packaged Goods","Content Clusters > Consumer Packaged Goods","People in this audience are interested in CPG goods, including Kraft food, Jiffy Mix, and Heinz Ketchup."
"Content Cluster","Consumer Rewards","Content Clusters > Consumer Rewards","People in this audience are interested in consumer rewards and promotions."
"Content Cluster","Content Streamers & Downloaders","Content Clusters > Content Streamers & Downloaders","People in this audience are interested in Bittorrent, movies, and downloads."
"Crafted Audience","Contractors & Construction Professionals","Lifestyle > Occupation > Contractors & Construction Professionals","People reading contractor trade publications."
"Crafted Audience","Cook at Home Parents","Lifestyle > Lifestage > Family > Cook at Home Parents","Parents that cook family meals at home."
"Crafted Audience","Cookie Eaters","Consumer > CPG > Food > Cookie Eaters","Consumers researching cookie companies and purchasing cookies online."
